appid,name,positive_ratings,negative_ratings,owners,reviews
11020,TrackMania Nations Forever,8252,1244,5000000,0.8689974726200506
11450,Overlord™,3439,276,2000000,0.9257065948855989
12100,Grand Theft Auto III,4718,750,2000000,0.8628383321141185
12110,Grand Theft Auto: Vice City,9817,819,5000000,0.9229973674313652
12120,Grand Theft Auto: San Andreas,26877,3243,5000000,0.8923306772908367
12140,Max Payne,3926,435,1000000,0.900252235725751
12150,Max Payne 2: The Fall of Max Payne,2506,172,1000000,0.9357729648991785
12200,Bully: Scholarship Edition,8504,1764,2000000,0.8282041293338528
12210,Grand Theft Auto IV,35240,18926,5000000,0.650592622678433
12220,Grand Theft Auto: Episodes from Liberty City,6401,2345,5000000,0.7318774296821404
12710,Overlord™: Raising Hell,946,75,1000000,0.9265426052889324
12810,Overlord II,2116,306,2000000,0.8736581337737407
13230,Unreal Tournament 2004: Editor's Choice Edition,2211,66,500000,0.9710144927536232
13240,Unreal Tournament: Game of the Year Edition,2134,65,500000,0.9704411095952705
13250,Unreal Gold,1228,132,1000000,0.9029411764705882
13570,Tom Clancy's Splinter Cell Chaos Theory®,1777,140,500000,0.9269692227438706
15130,Beyond Good and Evil™,1823,186,500000,0.90741662518666
15300,Tom Clancy's Ghost Recon®,536,45,200000,0.9225473321858864
15370,Heroes of Might & Magic V: Tribes of the East,759,66,500000,0.92
15620,"Warhammer 40,000: Dawn of War II",5626,755,5000000,0.8816799874627801
15700,Oddworld: Abe's Oddysee®,2739,442,5000000,0.8610499842816725
15710,Oddworld: Abe's Exoddus®,806,48,500000,0.9437939110070258
16450,F.E.A.R. 2: Project Origin,3274,509,2000000,0.8654507005022469
17080,Tribes: Ascend,6470,1738,5000000,0.7882553606237817
17300,Crysis,6075,1277,2000000,0.8263057671381937
17390,SPORE™,15101,2014,5000000,0.8823254455156295
17410,Mirror's Edge™,17880,2341,5000000,0.8842292666040256
17450,Dragon Age: Origins,6207,468,1000000,0.9298876404494382
17460,Mass Effect,10107,666,2000000,0.9381787802840434
17470,Dead Space,9136,1049,5000000,0.8970054000981836
18040,DeathSpank,540,34,200000,0.9407665505226481
18500,Defense Grid: The Awakening,3307,113,1000000,0.9669590643274854
19830,Tom Clancy's Rainbow Six® 3 Gold,811,71,200000,0.9195011337868481
19900,Far Cry® 2: Fortune's Edition,5292,1739,2000000,0.7526667614848528
20540,Company of Heroes: Tales of Valor,1337,101,5000000,0.9297635605006954
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",1645,164,2000000,0.9093421779988944
20820,Shatter,963,64,500000,0.937682570593963
20900,The Witcher: Enhanced Edition Director's Cut,26380,4217,5000000,0.8621760303297709
20920,The Witcher 2: Assassins of Kings Enhanced Edition,36427,4710,5000000,0.8855045336315239
21090,F.E.A.R.,6371,438,2000000,0.9356733734762814
21100,F.E.A.R. 3,5349,2030,2000000,0.7248949722184578
21690,Resident Evil™ 5/ Biohazard 5®,9250,1618,2000000,0.8511225616488775
22000,World of Goo,3455,237,2000000,0.935807150595883
22100,Mount & Blade,3205,291,2000000,0.9167620137299771
22120,Penumbra: Black Plague Gold Edition,1396,79,500000,0.9464406779661017
22180,Penumbra Overture,1660,164,1000000,0.9100877192982456
22230,Rock of Ages,2604,244,500000,0.9143258426966292
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,9571,540,2000000,0.9465928197013154
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,13827,826,2000000,0.943629290930185
22350,BRINK,3493,2331,2000000,0.5997596153846154
22370,Fallout 3: Game of the Year Edition,17742,4495,5000000,0.7978594234833836
22380,Fallout: New Vegas,66756,3149,5000000,0.9549531507045276
23490,Tropico 3,1338,176,2000000,0.8837516512549538
24010,Train Simulator 2019,8573,5336,2000000,0.6163635056438277
24200,DC Universe™ Online,10138,2654,5000000,0.792526579111945
24240,PAYDAY™ The Heist,34645,2533,5000000,0.9318683092151272
24740,Burnout Paradise: The Ultimate Box,9739,1487,2000000,0.8675396401211474
24780,SimCity™ 4 Deluxe Edition,3110,959,2000000,0.764315556647825
24800,Command & Conquer: Red Alert 3 - Uprising,1449,362,2000000,0.8001104362230812
24810,Command & Conquer 3: Kane's Wrath,1070,76,500000,0.9336823734729494
24960,Battlefield: Bad Company™ 2,23093,3877,5000000,0.8562476826103077
24980,Mass Effect 2,10675,542,2000000,0.9516804849781582
25830,Knights of Honor,1018,89,200000,0.919602529358627
25900,King's Bounty: The Legend,1290,139,500000,0.9027291812456263
26800,Braid,6529,386,2000000,0.944179320318149
32360,The Secret of Monkey Island: Special Edition,2156,115,1000000,0.9493615147512109
32370,STAR WARS™ - Knights of the Old Republic™,11569,1590,5000000,0.8791701497074246
32380,STAR WARS™ Jedi Knight: Dark Forces II,777,315,2000000,0.7115384615384616
32400,STAR WARS™ - Dark Forces,1501,171,2000000,0.8977272727272727
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2287,1389,2000000,0.6221436343852013
32440,LEGO® Star Wars™ - The Complete Saga,3033,256,1000000,0.9221647917300091
32460,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,1194,63,500000,0.9498806682577565
32470,STAR WARS™ Empire at War - Gold Pack,6526,396,2000000,0.9427911008379081
32500,STAR WARS™: The Force Unleashed™ II,1880,1348,2000000,0.5824039653035935
33120,Alien Shooter 2: Reloaded,995,84,500000,0.9221501390176089
33230,Assassin's Creed 2 Deluxe Edition,14861,2639,2000000,0.8492
33680,eversion,955,92,100000,0.9121298949379179
33900,Arma 2,1728,357,2000000,0.8287769784172662
33930,Arma 2: Operation Arrowhead,17683,1519,5000000,0.9208936569107384
34030,Total War: NAPOLEON – Definitive Edition,8540,907,5000000,0.9039906848735049
34830,Sniper: Ghost Warrior,2143,1728,2000000,0.5536037199690003
34870,Sniper: Ghost Warrior 2,6775,2724,2000000,0.713232971891778
35130,Lara Croft and the Guardian of Light,2506,237,1000000,0.913598250091141
35140,Batman: Arkham Asylum Game of the Year Edition,20297,865,5000000,0.9591248464228334
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,26922,2274,5000000,0.9221126181668722
35700,Trine Enchanted Edition,9448,407,2000000,0.958701166920345
35720,Trine 2: Complete Story,16369,706,5000000,0.9586530014641288
37600,Windosill,821,85,200000,0.9061810154525386
38400,Fallout: A Post Nuclear Role Playing Game,6983,643,2000000,0.9156831890899554
38410,Fallout 2: A Post Nuclear Role Playing Game,4758,321,2000000,0.9367985823981099
38600,Faerie Solitaire,2147,207,500000,0.9120645709430756
38720,RUSH,1069,117,500000,0.9013490725126475
38740,EDGE,1714,148,500000,0.920515574650913
39000,Moonbase Alpha,9867,1166,2000000,0.8943170488534397
39120,RIFT,6885,2326,5000000,0.7474758440994463
39140,FINAL FANTASY VII,11722,878,2000000,0.9303174603174603
39210,FINAL FANTASY XIV Online,9808,2107,2000000,0.8231640788921527
40100,Supreme Commander 2,5336,903,2000000,0.8552652668696906
40390,Risen 2: Dark Waters,2987,891,2000000,0.7702423929860753
40700,Machinarium,5437,264,1000000,0.9536923346781266
40950,Stronghold HD,2992,199,2000000,0.9376371043560012
40970,Stronghold Crusader HD,4079,170,2000000,0.95999058602024
40990,Mafia,1727,180,500000,0.9056109071840587
41000,Serious Sam HD: The First Encounter,3950,269,2000000,0.9362408153590899
41070,Serious Sam 3: BFE,15574,1977,5000000,0.8873568457637742
41300,Altitude,1540,128,500000,0.9232613908872902
41500,Torchlight,3825,317,2000000,0.923466924191212
41700,S.T.A.L.K.E.R.: Call of Pripyat,10172,470,2000000,0.9558353692914866
42670,Singularity™,2766,227,200000,0.9241563648513198
42700,Call of Duty®: Black Ops,14201,1839,5000000,0.8853491271820448
42910,Magicka,20912,1964,5000000,0.9141458296905053
44350,GRID 2,11953,3009,2000000,0.7988905226573988
45400,Fortix,802,69,200000,0.9207807118254879
45700,Devil May Cry 4,1620,144,500000,0.9183673469387755
47410,Stronghold Kingdoms,4886,2609,2000000,0.6519012675116744
47780,Dead Space™ 2,8943,493,2000000,0.9477532852903773
47790,Medal of Honor™,3209,1370,2000000,0.7008080366892334
47810,Dragon Age: Origins - Ultimate Edition,8808,726,2000000,0.9238514789175583
47870,Need For Speed: Hot Pursuit,11405,2775,2000000,0.8043018335684062
47890,The Sims™ 3,11679,2493,5000000,0.8240897544453852
48000,LIMBO,30321,1994,5000000,0.9382949094847594
48700,Mount & Blade: Warband,75872,2213,5000000,0.9716590894538003
48720,Mount & Blade: With Fire & Sword,6236,1055,2000000,0.8553010560965574
49520,Borderlands 2,144595,11021,10000000,0.929178233600658
49600,Beat Hazard,6296,328,1000000,0.9504830917874396
50130,Mafia II,31445,1855,5000000,0.9442942942942943
50300,Spec Ops: The Line,32361,2613,5000000,0.9252873563218391
55100,Homefront,5506,3685,5000000,0.599064302034599
55110,Red Faction®: Armageddon™,2674,1005,2000000,0.7268279423756455
55150,"Warhammer 40,000: Space Marine",9847,998,5000000,0.9079760258183495
