appid,name,positive_ratings,negative_ratings,owners,reviews
236390,War Thunder,83852,22166,20000000,0.7909222962138505
236430,DARK SOULS™ II,30008,3799,2000000,0.8876268228473393
236450,PAC-MAN™ Championship Edition DX+,5988,291,500000,0.9536550406115624
236850,Europa Universalis IV,40346,8254,2000000,0.830164609053498
236930,Blackwell Epiphany,503,8,50000,0.9843444227005871
237310,Elsword,4755,1511,2000000,0.7588573252473667
237930,Transistor,22158,1162,2000000,0.950171526586621
238010,Deus Ex: Human Revolution - Director's Cut,13044,1233,2000000,0.9136373187644463
238090,Sniper Elite 3,12737,3297,2000000,0.7943744542846451
238210,System Shock 2,4227,274,1000000,0.939124638969118
238320,Outlast,45966,1953,5000000,0.9592437237838853
238370,Magicka 2,4873,1382,2000000,0.779056754596323
238430,Contagion,9087,3585,2000000,0.717092803030303
238460,BattleBlock Theater®,47342,1290,5000000,0.9734742556341504
238960,Path of Exile,71593,6117,20000000,0.9212842619997427
239030,"Papers, Please",25587,1103,5000000,0.9586736605470214
239140,Dying Light,78192,6176,5000000,0.926796889816044
239160,Thief,10486,4326,2000000,0.7079395085066162
239200,Amnesia: A Machine for Pigs,4336,2143,5000000,0.6692390801049545
239800,Bleed,1635,120,200000,0.9316239316239316
239820,Game Dev Tycoon,27373,1436,2000000,0.9501544656183831
240320,Panzar,2987,1609,2000000,0.6499129677980853
240720,Getting Over It with Bennett Foddy,10964,2913,2000000,0.7900843121712186
241240,Contraption Maker,959,92,500000,0.9124643196955281
241260,Sherlock Holmes: Crimes and Punishments,1988,169,200000,0.9216504404265183
241320,Ittle Dew,940,69,200000,0.931615460852329
241600,Rogue Legacy,13854,936,2000000,0.9367139959432048
242050,Assassin’s Creed® IV Black Flag™,23904,3362,2000000,0.8766962517420964
242680,Nuclear Throne,9694,405,1000000,0.9598970195068819
242700,Injustice: Gods Among Us Ultimate Edition,8793,1473,2000000,0.8565166569257744
242720,GunZ 2: The Second Duel,6865,3424,5000000,0.6672174166585674
242760,The Forest,110460,8881,5000000,0.925582993271382
242820,140,3398,241,500000,0.9337730145644407
242860,Verdun,22048,4418,2000000,0.8330688430439054
242920,Banished,24653,2820,2000000,0.8973537655152332
243200,Memoria,1352,136,500000,0.9086021505376344
243970,"Invisible, Inc.",3559,271,1000000,0.929242819843342
244850,Space Engineers,60221,9609,5000000,0.862394386366891
244870,Electronic Super Joy,3032,306,200000,0.908328340323547
244930,SNOW,7235,3754,2000000,0.6583856583856584
245170,Skullgirls,14298,838,2000000,0.9446353065539113
245620,Tropico 5,7878,2482,2000000,0.7604247104247104
246420,Kingdom Rush,5101,182,500000,0.9655498769638463
246620,Plague Inc: Evolved,20081,1419,2000000,0.934
246840,FATE,857,78,200000,0.9165775401069519
246900,Viscera Cleanup Detail,6753,580,1000000,0.9209054957043502
247020,"Cook, Serve, Delicious!",4232,235,500000,0.947391985672711
247080,Crypt of the NecroDancer,14162,533,2000000,0.9637291595780878
247140,Soundodger+,615,67,100000,0.9017595307917888
248310,Freedom Planet,3549,163,500000,0.9560883620689655
248330,Dino Run DX,590,49,100000,0.9233176838810642
248570,Toribash,11143,1563,5000000,0.8769872501180545
248610,Door Kickers,5834,349,1000000,0.9435549086204108
248820,Risk of Rain,22700,1589,2000000,0.9345794392523364
248860,NEO Scavenger,2947,319,200000,0.9023270055113288
249130,LEGO® Marvel™ Super Heroes,8797,691,1000000,0.9271711635750421
249680,Marlow Briggs and the Mask of Death,1685,138,200000,0.9243006034009874
250050,Life Goes On: Done to Death,1516,63,200000,0.9601013299556681
250110,Assault Android Cactus,1282,71,200000,0.9475240206947524
250180,METAL SLUG 3,5229,553,1000000,0.9043583535108959
250260,Jazzpunk: Director's Cut,4136,393,500000,0.9132258776771914
250320,The Wolf Among Us,21127,517,2000000,0.9761134725559046
250400,How to Survive,12965,2751,2000000,0.8249554594044286
250500,Super Amazing Wagon Adventure,1691,93,200000,0.9478699551569507
250600,The Plan,19476,1644,1000000,0.9221590909090909
250700,Super Time Force Ultra,675,72,200000,0.9036144578313253
250760,Shovel Knight: Treasure Trove,9334,332,1000000,0.9656528036416304
250900,The Binding of Isaac: Rebirth,72830,1840,5000000,0.9753582429355833
251130,Chroma Squad,2656,197,500000,0.9309498773221171
251150,The Legend of Heroes: Trails in the Sky,3413,318,500000,0.9147681586705977
251290,The Legend of Heroes: Trails in the Sky SC,1108,26,100000,0.9770723104056437
251370,Escape Goat,566,15,50000,0.9741824440619621
251430,The Inner World,570,51,200000,0.9178743961352657
251470,TowerFall Ascension,1906,125,500000,0.9384539635647464
251570,7 Days to Die,60718,16905,5000000,0.7822166110560015
251730,Legend of Grimrock 2,2075,215,500000,0.9061135371179039
251830,Stick it to The Man!,546,27,50000,0.9528795811518325
251990,Long Live The Queen,5656,305,500000,0.9488340882402282
252110,Lovers in a Dangerous Spacetime,1870,105,500000,0.9468354430379747
252130,Divide By Sheep,713,49,200000,0.9356955380577427
252410,SteamWorld Dig,4095,311,1000000,0.9294144348615524
252490,Rust,220370,53709,10000000,0.8040382517449348
252610,Death Road to Canada,3307,234,500000,0.9339169726066083
252870,PULSAR: Lost Colony,1989,212,200000,0.9036801453884598
252950,Rocket League®,242561,21816,10000000,0.9174814753174444
253030,Race The Sun,5258,343,1000000,0.9387609355472237
253110,The Cat Lady,3446,246,200000,0.9333694474539544
253230,A Hat in Time,14019,292,500000,0.9795961148766683
253710,theHunter Classic,11440,15403,10000000,0.42618187236896027
253750,Ikaruga,1398,70,200000,0.952316076294278
253840,Shantae: Half-Genie Hero,1704,160,200000,0.9141630901287554
253980,Enclave,4076,1139,2000000,0.7815915627996165
254440,Pool Nation,2295,253,500000,0.9007064364207221
254460,Obscure,685,55,100000,0.9256756756756757
255390,Max: The Curse of Brotherhood,968,53,100000,0.9480901077375122
255710,Cities: Skylines,67553,6005,10000000,0.9183637401778189
256290,Child of Light,9980,747,1000000,0.930362636338212
257510,The Talos Principle,17237,785,2000000,0.9564421262900898
257850,Hyper Light Drifter,11027,721,1000000,0.9386278515491998
259060,Dominions 4: Thrones of Ascension,1208,113,100000,0.9144587433762301
259080,Just Cause 2: Multiplayer Mod,12261,1099,2000000,0.9177395209580839
259550,Hero of the Kingdom,2936,237,200000,0.9253072801764891
259680,Tales of Maj'Eyal,2748,133,500000,0.9538354737938216
259740,Nightmares from the Deep: The Cursed Heart,1099,84,200000,0.9289940828402367
260190,Marc Eckō's Getting Up: Contents Under Pressure,778,71,100000,0.9163722025912838
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,15650,709,500000,0.956659942539275
260750,Neighbours from Hell Compilation,1639,51,500000,0.9698224852071006
261110,Killer is Dead - Nightmare Edition,4940,1599,2000000,0.7554671968190855
261180,Lethal League,5196,346,1000000,0.937567665102851
261640,Borderlands: The Pre-Sequel,16909,5076,5000000,0.7691153058903798
262060,Darkest Dungeon®,41544,6741,5000000,0.8603914259086672
262280,Dungeons 2,3043,787,2000000,0.7945169712793734
262410,World of Guns: Gun Disassembly,11178,2300,5000000,0.8293515358361775
263280,Spintires®: The Original Game,17042,2965,2000000,0.851801869345729
263500,Dragons and Titans,2428,708,2000000,0.7742346938775511
263760,Turbo Dismount™,3800,346,500000,0.9165460684997588
263980,Out There Somewhere,6180,459,1000000,0.9308630817894261
264200,One Finger Death Punch,14181,256,1000000,0.9822677841656854
264380,Narcissu 1st & 2nd,2854,169,500000,0.9440952695997353
264710,Subnautica,90155,5413,5000000,0.9433597019922987
265210,Viscera Cleanup Detail: Santa's Rampage,3645,395,1000000,0.9022277227722773
265590,The Red Solstice,1476,535,2000000,0.7339632023868722
265610,Epic Battle Fantasy 4,2180,80,500000,0.9646017699115044
265630,Fistful of Frags,23803,2399,5000000,0.9084421036562095
265890,Hexcells,3482,129,500000,0.9642758238715038
265930,Goat Simulator,45892,5779,5000000,0.8881577674130556
266010,LYNE,6860,263,500000,0.9630773550470307
266210,One Way Heroics,3349,199,500000,0.9439120631341601
266510,Hand of Fate,8045,794,1000000,0.9101708338047291
266840,Age of Mythology: Extended Edition,9336,1577,2000000,0.8554934481810684
268130,Heat Signature,3247,220,500000,0.9365445630227863
268400,Panzer Corps,1054,93,200000,0.918918918918919
268420,Aura Kingdom,5666,1533,5000000,0.7870537574663148
268500,XCOM® 2,28774,7018,2000000,0.8039226642825212
268850,EVGA Precision XOC,1626,538,2000000,0.7513863216266173
268910,Cuphead,38821,1698,2000000,0.9580937338038945
269050,Year Walk,1519,147,200000,0.9117647058823529
269170,Sports Bar VR,624,67,100000,0.9030390738060782
269210,Hero Siege,14929,4023,2000000,0.7877268889826932
269270,LOVE,941,98,100000,0.9056785370548605
269770,Secrets of Grindea,3642,254,200000,0.9348049281314168
270210,Melody's Escape,4187,292,200000,0.9348068765349409
270450,Robot Roller-Derby Disco Dodgeball,3155,259,500000,0.9241359109548917
270550,Yet Another Zombie Defense,9900,1529,5000000,0.8662175168431184
270880,American Truck Simulator,25316,2096,2000000,0.9235371370202831
271590,Grand Theft Auto V,329061,139308,20000000,0.7025678471461604
271820,Card City Nights,744,81,200000,0.9018181818181819
271900,Hexcells Plus,1283,89,200000,0.935131195335277
272040,KAMI,1009,44,200000,0.9582146248812915
272600,Detective Grimoire,1123,62,100000,0.9476793248945148
273110,Counter-Strike Nexon: Zombies,22130,12127,10000000,0.645999357795487
274170,Hotline Miami 2: Wrong Number,21838,1933,2000000,0.9186824281687771
274190,Broforce,31033,1059,2000000,0.9670011217748972
274350,Dropsy,1158,80,200000,0.9353796445880452
274500,Brigador: Up-Armored Edition,1538,110,500000,0.933252427184466
274520,Darkwood,3856,238,500000,0.9418661455788959
274940,Depth,22385,3472,2000000,0.8657230150442821
275200,Westerado: Double Barreled,1198,110,200000,0.9159021406727829
275390,Guacamelee! Super Turbo Championship Edition,1728,122,500000,0.9340540540540541
275850,No Man's Sky,63444,56488,2000000,0.5289997665343695
278360,A Story About My Uncle,17924,1642,10000000,0.9160789123990596
279800,Grim Legends 2: Song of the Dark Swan,761,27,200000,0.9657360406091371
279940,The Book of Unwritten Tales 2,562,47,100000,0.922824302134647
280220,Creeper World 3: Arc Eternal,2347,87,200000,0.9642563681183237
280790,Creativerse,19114,4911,5000000,0.7955879292403746
281640,The Banner Saga 2,1670,172,500000,0.9066232356134636
281920,Splatter - Zombie Apocalypse,1858,202,500000,0.9019417475728155
281990,Stellaris,35327,10036,5000000,0.7787624275290435
282070,This War of Mine,47258,2571,5000000,0.9484035401071665
282140,SOMA,16463,754,1000000,0.9562060753906023
282440,Quake Live™,10227,1956,5000000,0.839448411721251
282800,100% Orange Juice,10605,794,500000,0.930344767084832
282900,Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,9138,476,500000,0.9504888703973372
283160,House of the Dying Sun,999,110,100000,0.9008115419296664
283640,Salt and Sanctuary,7173,634,500000,0.9187908287434354
283960,Pajama Sam: No Need to Hide When It's Dark Outside,580,14,50000,0.9764309764309764
284160,BeamNG.drive,15168,1536,1000000,0.9080459770114943
284390,The Last Door - Collector's Edition,1284,72,200000,0.9469026548672567
284710,Abyss: The Wraiths of Eden,905,100,200000,0.900497512437811
284770,Enigmatis 2: The Mists of Ravenwood,872,22,200000,0.9753914988814317
284790,Nightmares from the Deep 2: The Siren`s Call,561,24,200000,0.958974358974359
284810,Nightmares from the Deep 3: Davy Jones,511,19,200000,0.9641509433962264
284830,Clockwork Tales: Of Glass and Ink,735,69,100000,0.914179104477612
284850,Grim Legends: The Forsaken Bride,878,39,200000,0.9574700109051254
284870,9 Clues: The Secret of Serpent Creek,887,95,100000,0.9032586558044806
285310,RollerCoaster Tycoon®: Deluxe,3049,226,1000000,0.9309923664122137
285440,Crimzon Clover WORLD IGNITION,1053,59,200000,0.9469424460431655
285740,Kitty Powers' Matchmaker,588,38,100000,0.939297124600639
285800,Braveland,1517,319,2000000,0.8262527233115469
285900,Gang Beasts,13439,5880,2000000,0.6956364201045603
286100,You Have to Win the Game,5005,388,1000000,0.9280548859632858
286160,Tabletop Simulator,13243,777,2000000,0.9445791726105564
286260,fault - milestone one,2436,164,500000,0.936923076923077
286570,F1 2015,3834,2720,5000000,0.5849862679279829
286690,Metro 2033 Redux,28179,7313,5000000,0.7939535670010143
286940,S.K.I.L.L. - Special Force 2 (Shooter),7344,3553,5000000,0.6739469578783152
287020,Harvester,571,54,100000,0.9136
287390,Metro: Last Light Redux,23483,5874,5000000,0.7999114350921416
287450,Rise of Nations: Extended Edition,5125,473,1000000,0.9155055376920329
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,38643,4954,2000000,0.8863683280959699
287980,Mini Metro,7464,288,1000000,0.9628482972136223
288120,Dungeonmans,520,45,50000,0.9203539823008849
288160,The Room,10206,280,500000,0.9732977303070761
289070,Sid Meier’s Civilization® VI,39127,18325,5000000,0.6810380839657453
289130,Endless Legend™,10015,2107,2000000,0.8261837980531266
291480,Warface,32751,14409,20000000,0.6944656488549619
291550,Brawlhalla,73268,14489,20000000,0.8348963615438084
291650,Pillars of Eternity,11558,1835,2000000,0.8629881281266333
291860,Pit People®,5027,311,500000,0.9417384788310229
292030,The Witcher® 3: Wild Hunt,202930,4798,10000000,0.9769024878687514
292500,Kero Blaster,543,40,200000,0.9313893653516295
292600,Duet,610,38,100000,0.941358024691358
293540,Guns and Robots,1129,606,2000000,0.6507204610951008
293780,Crawl,3757,156,500000,0.9601328903654485
294100,RimWorld,38556,857,2000000,0.97825590541192
294810,BlazBlue: Continuum Shift Extend,998,88,200000,0.9189686924493554
294860,Valkyria Chronicles™,8862,838,1000000,0.9136082474226804
296470,Mount Your Friends,6341,329,1000000,0.9506746626686656
296490,GemCraft - Chasing Shadows,2179,88,200000,0.9611821790913101
296870,Dreaming Sarah,1686,163,500000,0.9118442401297999
296970,Renowned Explorers: International Society,2013,150,500000,0.9306518723994452
298030,Total Annihilation,1274,56,200000,0.9578947368421052
298110,Far Cry® 4,17082,4740,2000000,0.7827880120978828
298180,The Desolate Hope,752,69,500000,0.9159561510353228
298240,Red Crucible®: Firestorm,4795,3264,5000000,0.5949869710882243
298260,Only If,3752,2137,2000000,0.6371200543385974
298600,Lovely Planet,2092,181,500000,0.9203695556533216
298630,The Escapists,11629,1432,2000000,0.8903606155730802
299030,Blood: One Unit Whole Blood,1025,110,100000,0.9030837004405287
299360,Block N Load,10856,3196,5000000,0.7725590663250783
300570,Infinifactory,1511,92,500000,0.9426076107298814
301520,Robocraft,80360,30987,20000000,0.7217078143102194
301650,Battlezone 98 Redux,515,54,50000,0.9050966608084359
301970,Screencheat,1157,99,500000,0.9211783439490446
302380,Floating Point,3262,139,1000000,0.9591296677447809
302510,Ryse: Son of Rome,14966,2939,2000000,0.8358559061714604
302610,Boson X,1288,105,100000,0.9246231155778895
302790,Momodora III,752,60,100000,0.9261083743842364
302830,BLOCKADE 3D,15821,11583,5000000,0.5773244781783681
303310,The House in Fata Morgana,659,17,20000,0.9748520710059172
303390,Dead Bits,4845,3470,2000000,0.5826819001803969
304030,ArcheAge,3195,3033,2000000,0.5130057803468208
304050,Trove,47897,13708,10000000,0.7774855937018099
304240,Resident Evil / biohazard HD REMASTER,6313,661,1000000,0.9052193862919415
304390,FOR HONOR™,34790,25920,5000000,0.5730522154505023
304410,Hexcells Infinite,1947,68,200000,0.9662531017369727
304430,INSIDE,19660,934,1000000,0.9546469845586093
304930,Unturned,292574,31482,50000000,0.9028501246698102
305380,Blue Estate The Game,1068,104,100000,0.9112627986348123
305620,The Long Dark,45856,4298,2000000,0.914303943852933
306020,Bloons TD 5,3808,347,500000,0.9164861612515042
306130,The Elder Scrolls® Online,33719,11672,2000000,0.7428565134057412
307580,Technobabylon,812,44,200000,0.9485981308411215
307690,Sleeping Dogs: Definitive Edition,15529,1904,2000000,0.8907818505133941
307780,Mortal Kombat X,21484,7154,2000000,0.7501920525176339
310080,Hatoful Boyfriend,5235,328,500000,0.9410390077296423
310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,1383,50,200000,0.9651081646894627
310370,The Way of Life Free Edition,5251,1821,2000000,0.7425056561085973
310560,DiRT Rally,17632,2496,2000000,0.875993640699523
310790,Geometry Wars™ 3: Dimensions Evolved,910,100,200000,0.900990099009901
311190,Super Panda Adventures,679,24,50000,0.9658605974395448
311210,Call of Duty®: Black Ops III,36255,23157,2000000,0.6102302565138356
311240,Zero Escape: Zero Time Dilemma,1382,128,500000,0.9152317880794701
311690,Enter the Gungeon,24947,1573,2000000,0.9406862745098039
311870,Super Trench Attack!,992,80,100000,0.9253731343283582
312530,Duck Game,16769,755,1000000,0.956916229171422
312610,METAL SLUG X,1544,164,500000,0.9039812646370023
312990,The Expendabros,15084,425,5000000,0.9725965568379651
313160,Farming Simulator 15,10219,1066,1000000,0.9055383252104564
313730,Sunrider: Mask of Arcadius,2375,174,1000000,0.9317379364456649
314160,Microsoft Flight Simulator X: Steam Edition,8859,2282,2000000,0.795170990036801
314230,Rodina,1111,76,50000,0.9359730412805392
314410,Rampage Knights,2301,189,500000,0.9240963855421687
315460,Dig or Die,2777,285,200000,0.9069235793598955
315810,eden*,1966,77,200000,0.9623103279490944
316010,Magic Duels,16599,6912,5000000,0.7060099527880567
316390,sZone-Online,3205,4886,5000000,0.3961191447287109
316720,planetarian ~the reverie of a little planet~,1475,37,100000,0.9755291005291006
317360,Double Action: Boogaloo,9252,786,5000000,0.921697549312612
318130,Doom & Destiny,1580,54,100000,0.966952264381885
319630,Life is Strange - Episode 1,118634,4496,10000000,0.9634857467717047
320300,Car Mechanic Simulator 2015,8238,827,1000000,0.9087699944842802
320760,Tokyo School Life,586,35,50000,0.9436392914653784
321480,Sigils of Elohim,828,71,500000,0.9210233592880979
322110,20XX,2591,205,500000,0.9266809728183119
322170,Geometry Dash,52737,2990,2000000,0.9463455775476879
322190,SteamWorld Heist,2660,121,500000,0.9564904710535779
322210,"Guns, Gore & Cannoli",1650,125,200000,0.9295774647887324
322290,Gurumin: A Monstrous Adventure,513,48,100000,0.9144385026737968
322330,Don't Starve Together,108601,4206,10000000,0.9627150797379596
322500,SUPERHOT,14847,2202,2000000,0.8708428646841457
322770,Vanishing Realms™,2132,132,200000,0.941696113074205
323190,Frostpunk,22952,3202,2000000,0.8775713084040682
323320,Grow Home,3855,382,500000,0.9098418692471089
323380,The Magic Circle,1048,83,200000,0.9266136162687887
323580,Jotun: Valhalla Edition,5325,1470,5000000,0.7836644591611479
324160,CLANNAD,1900,40,100000,0.979381443298969
324680,Impossible Creatures Steam Edition,731,34,100000,0.9555555555555556
325610,Total War: ATTILA,12297,4469,2000000,0.7334486460694262
326150,Death Skid Marks,513,43,50000,0.9226618705035972
326460,ShellShock Live,11426,1264,2000000,0.9003940110323089
326480,If My Heart Had Wings,2780,219,200000,0.9269756585528509
327140,Tilt Brush,796,26,200000,0.9683698296836983
327560,Near Death,555,54,50000,0.9113300492610837
328080,Rise to Ruins,2850,279,500000,0.9108341323106424
328760,SanctuaryRPG: Black Edition,1218,96,200000,0.9269406392694064
329050,Devil May Cry® 4 Special Edition,5036,509,1000000,0.9082055906221821
329130,Reassembly,2258,173,200000,0.9288358700123406
330390,Grandia® II Anniversary Edition,1061,102,100000,0.9122957867583835
330830,Tales from the Borderlands,14338,697,2000000,0.953641503159295
331470,Everlasting Summer,31230,1538,2000000,0.95306396484375
331670,The Jackbox Party Pack,774,72,500000,0.9148936170212766
332070,School of Dragons,1851,1778,2000000,0.5100578671810416
332200,Axiom Verge,3084,187,200000,0.9428309385509018
332800,Five Nights at Freddy's 2,8032,851,1000000,0.9041990318586063
333600,NEKOPARA Vol. 1,16160,740,1000000,0.9562130177514793
333640,Caves of Qud,1498,46,100000,0.9702072538860104
333930,Dirty Bomb®,43743,10891,10000000,0.8006552696123294
334920,Zero-K,873,87,500000,0.909375
334940,Yoku's Island Express,562,20,50000,0.9656357388316151
335000,Tormentum - Dark Sorrow,1824,110,100000,0.9431230610134437
335240,Transformice,11701,2227,5000000,0.8401062607696727
335300,DARK SOULS™ II: Scholar of the First Sin,25959,4289,2000000,0.8582055011901614
335670,LISA,7450,344,500000,0.955863484731845
336140,Unavowed,607,23,50000,0.9634920634920635
337000,Deus Ex: Mankind Divided,16023,7344,2000000,0.6857106175375529
337320,Paint the Town Red,4752,489,500000,0.9066971951917573
337340,Finding Paradise,6578,123,500000,0.9816445306670646
337950,The SKIES,1706,2059,2000000,0.4531208499335989
339280,Strife®,3677,1197,2000000,0.754411161263849
339350,Choice of Robots,1719,50,100000,0.971735443753533
339610,Freestyle 2: Street Basketball,5781,2192,5000000,0.7250721183995986
339800,HuniePop,17761,711,1000000,0.9615093113902122
340000,Headlander,575,63,100000,0.9012539184952978
340520,Tallowmere,581,42,50000,0.9325842696629213
341800,Keep Talking and Nobody Explodes,5745,115,1000000,0.9803754266211604
342200,MechWarrior Online™ Solaris 7,4262,1418,2000000,0.7503521126760564
342300,Zombie Kill of the Week - Reborn,736,63,100000,0.9211514392991239
342560,Airships: Conquer the Skies,2066,111,100000,0.9490124023886082
342580,12 Labours of Hercules,2391,156,200000,0.9387514723203769
343710,Kholat,2593,1188,2000000,0.6857974080930971
344770,fault - milestone two side:above,1886,42,100000,0.9782157676348547
345610,The Fruit of Grisaia,692,37,50000,0.9492455418381345
345820,Shantae and the Pirate's Curse,1477,99,500000,0.9371827411167513
346010,Besiege,25880,1364,5000000,0.949933930406695
346110,ARK: Survival Evolved,145035,66603,10000000,0.6852975363592549
346330,BrainBread 2,2334,1061,2000000,0.6874815905743741
346560,Hero of the Kingdom II,1409,84,100000,0.9437374413931681
346900,AdVenture Capitalist,35093,4214,5000000,0.8927926323555601
347620,Gaokao.Love.100Days,4592,215,200000,0.9552735593925525
347830,Fairy Fencer F,1997,208,200000,0.9056689342403628
348250,Google Earth VR,1788,71,1000000,0.9618074233458849
348550,GUILTY GEAR XX ACCENT CORE PLUS R,658,65,200000,0.9100968188105117
348620,Voices from the Sea,1083,75,200000,0.9352331606217616
348710,Saint Seiya: Soldiers' Soul,1588,152,100000,0.9126436781609195
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,17336,3456,2000000,0.8337822239322816
350070,Environmental Station Alpha,518,53,50000,0.9071803852889667
350740,The Bug Butcher,939,92,100000,0.9107662463627546
351030,Pixel Puzzles Ultimate,895,372,2000000,0.7063930544593529
351640,Eternal Senia,10106,227,1000000,0.9780315494048195
351700,UnReal World,544,25,50000,0.9560632688927944
351710,Hyperdimension Neptunia Re;Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe;Birth2 / 超次次元遊戲 戰機少女 重生2,2323,198,500000,0.9214597381991273
351920,Crazy Machines 3,3158,130,100000,0.9604622871046229
352520,The Silent Age,4700,320,500000,0.9362549800796812
353270,Hyperdimension Neptunia Re;Birth3 V Generation / 神次次元ゲイム ネプテューヌRe;Birth3 V CENTURY / 神次次元遊戲 戰機少女 重生3 Ｖ世紀,2590,120,500000,0.955719557195572
353330,Love at First Sight,815,41,50000,0.9521028037383178
353540,Stephen's Sausage Roll,557,28,50000,0.9521367521367521
355050,Sky Force Anniversary,1022,99,100000,0.911685994647636
355180,Codename CURE,11470,2426,5000000,0.8254173862982153
355840,Survarium,9985,9441,5000000,0.5140018531864512
355980,Dungeon Warfare,990,37,100000,0.9639727361246349
356190,Middle-earth™: Shadow of War™,19813,5633,2000000,0.7786292541067358
356400,Thumper,1950,166,200000,0.9215500945179584
356520,Port of Call,939,104,200000,0.900287631831256
356670,Spooky's Jump Scare Mansion,9030,725,2000000,0.9256791389031266
357300,Snakebird,615,47,100000,0.9290030211480362
357330,Space Beast Terror Fright,673,46,50000,0.9360222531293463
357340,Cobalt,551,58,50000,0.9047619047619048
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,8258,423,500000,0.9512728948277848
359320,Elite Dangerous,26143,11006,2000000,0.7037336132870333
359390,Amnesia™: Memories,1803,125,100000,0.9351659751037344
359550,Tom Clancy's Rainbow Six® Siege,251178,59620,10000000,0.8081712237530486
360430,Mafia III,13366,13650,2000000,0.4947438554930412
360740,Downwell,4486,149,500000,0.9678532901833873
361420,ASTRONEER,28375,5246,2000000,0.8439665685137265
361990,Lakeview Cabin Collection,901,84,200000,0.9147208121827411
362620,Software Inc.,2578,218,200000,0.9220314735336195
362680,Fran Bow,4896,192,500000,0.9622641509433962
362890,Black Mesa,14113,999,2000000,0.9338935944944415
363970,Clicker Heroes,42530,4734,10000000,0.8998392010832769
364360,Total War: WARHAMMER,29826,9878,2000000,0.751208946201894
364390,Downfall,522,37,50000,0.9338103756708408
364470,The Elder Scrolls®: Legends™,5365,2099,2000000,0.7187834941050375
364930,Koi-Koi Japan [Hanafuda playing cards],731,51,100000,0.9347826086956522
365300,Transmissions: Element 120,7916,501,1000000,0.9404776048473328
365450,Hacknet,13355,1052,5000000,0.9269799403067953
365590,Tom Clancy’s The Division™,49832,25607,5000000,0.6605601877013216
366250,METAL SLUG,1169,128,500000,0.9013107170393215
367500,Dragon's Dogma: Dark Arisen,12856,1688,2000000,0.8839383938393839
367520,Hollow Knight,40167,1927,2000000,0.9542215042523875
367570,oO,792,74,100000,0.9145496535796767
367580,Hook,6636,193,200000,0.9717381754283204
367670,Controller Companion,1603,149,200000,0.9149543378995434
368230,Kingdom: Classic,9673,1227,5000000,0.8874311926605505
368340,CrossCode,6219,336,500000,0.9487414187643021
368390,The Darkside Detective,680,32,100000,0.9550561797752809
368650,Dark Echo,563,44,50000,0.9275123558484349
368950,Jigoku Kisetsukan: Sense of the Seasons,1601,118,500000,0.9313554392088423
370020,Templar Battleforce,681,39,50000,0.9458333333333333
370280,Season of 12 Colors,1360,85,50000,0.9411764705882353
370360,TIS-100,2536,82,500000,0.9686783804430863
370910,Kathy Rain,1188,86,200000,0.9324960753532182
372000,Tree of Savior (English Ver.),9323,5897,5000000,0.6125492772667542
373180,Kung Fury: Street Rage,1997,216,200000,0.9023949389968369
373390,Contradiction - Spot The Liar!,1644,61,50000,0.9642228739002933
373420,Divinity: Original Sin - Enhanced Edition,10601,1201,2000000,0.8982375868496865
373770,LiEat,2637,94,200000,0.9655803734895643
374320,DARK SOULS™ III,100412,9953,5000000,0.9098174240021746
375480,Chronicon,1209,76,100000,0.9408560311284047
375530,"Football, Tactics & Glory",1774,172,50000,0.9116135662898253
375820,Human Resource Machine,2200,155,500000,0.9341825902335457
375950,Viridi,5524,575,1000000,0.9057222495491064
376300,GUILTY GEAR Xrd -SIGN-,1900,153,200000,0.9254749147588894
377160,Fallout 4,110376,45377,10000000,0.7086605073417527
377840,FINAL FANTASY IX,3875,325,500000,0.9226190476190477
377860,Mushihimesama,790,20,50000,0.9753086419753086
378610,Valley,4036,385,500000,0.9129156299479756
378720,Thea: The Awakening,2533,264,200000,0.9056131569538791
379430,Kingdom Come: Deliverance,30024,9307,2000000,0.7633673184002441
379720,DOOM,68536,5156,5000000,0.9300331107854313
379980,Panzermadels: Tank Dating Simulator,1157,107,50000,0.9153481012658228
380600,Fishing Planet,10585,3330,5000000,0.7606899029823931
381020,Sky Rogue,614,51,50000,0.9233082706766917
381210,Dead by Daylight,140721,44985,10000000,0.7577622693935575
381780,80 Days,1092,108,200000,0.91
382490,Relic Hunters Zero,5715,352,1000000,0.9419812098236361
383080,Sakura Clicker,11952,2209,2000000,0.8440081915118989
383270,Hue,737,48,200000,0.9388535031847134
384190,ABZU,15634,1233,1000000,0.9268986778917413
384630,Aviary Attorney,1241,66,100000,0.9495026778882938
385800,NEKOPARA Vol. 0,11781,765,1000000,0.9390243902439024
386180,Crossout,12372,6196,5000000,0.6663076260232659
386360,SMITE®,34514,8895,10000000,0.79508857610173
